pitcher_id,batter_id,on_1b,on_2b,on_3b,des,des_es,s_or_ball,tfs,tfs_zulu,x,y,sv_id,start_speed,end_speed,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vx0,vy0,vz0,ax,ay,az,break_y,break_angle,break_length,pitch_type,type_confidence,zone,nasty,spin_dir,spin_rate,cc,mt,num,game_id,game_id_num,inning,inning_num,away_team,home_team
502032,435079,"","","",Called Strike,Strike cantado,S,822,2013-04-01T00:08:22Z,84.98,162.33,130331_190820,91.9,83.7,3.26,1.44,0.14,11.2,0.56,1.917,-1.218,50.0,5.83,4.645,-134.441,-8.083,0.247,32.748,-11.864,23.7,-5.5,3.1,FF,0.849,9,62,179.305,2191.859,"","",1,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_1,"","","",""
502032,435079,"","","","In play, out(s)","En juego, out(s)",X,841,2013-04-01T00:08:41Z,98.71,151.1,130331_190838,92.2,84.5,3.4,1.5,0.37,10.84,0.089,2.33,-1.101,50.0,5.865,3.037,-135.03,-7.112,0.683,30.909,-12.187,23.8,-5.6,3.1,FC,0.8,5,27,178.045,2148.686,"","",1,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_1,"","","",""
502032,462101,"","","",Ball,Bola mala,B,944,2013-04-01T00:09:44Z,76.39,111.39,130331_190927,92.0,83.3,3.25,1.5,-1.24,9.92,-0.803,3.611,-1.265,50.0,5.963,1.644,-134.915,-3.535,-2.236,34.539,-14.169,23.7,6.9,3.4,FF,0.905,11,81,187.077,1951.006,"","",2,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_2,"","","",""
502032,462101,"","","",Swinging Strike,Strike tirándole,S,942,2013-04-01T00:09:42Z,73.82,192.55,130331_190940,85.1,79.3,3.25,1.5,6.55,-0.74,0.813,0.373,-1.525,50.0,5.793,3.659,-124.553,-6.559,10.281,25.151,-33.266,23.9,-17.5,9.3,SL,0.903,14,41,83.937,1204.258,"","",2,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_2,"","","",""
502032,462101,"","","",Called Strike,Strike cantado,S,1005,2013-04-01T00:10:05Z,84.12,158.01,130331_191002,91.7,83.9,3.1,1.47,-1.25,10.62,0.546,1.978,-0.999,50.0,5.799,4.509,-134.205,-7.647,-2.266,31.358,-12.897,23.7,4.9,3.3,FF,0.905,9,42,186.703,2098.229,"","",2,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_2,"","","",""
502032,462101,"","","",Ball,Bola mala,B,1024,2013-04-01T00:10:24Z,54.94,189.1,130331_191022,84.4,78.5,3.07,1.48,4.83,0.23,1.269,0.419,-1.537,50.0,5.869,5.304,-123.473,-6.747,7.434,25.316,-31.751,23.8,-14.1,9.0,SL,0.902,14,40,93.257,874.893,"","",2,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_2,"","","",""
502032,462101,"","","",Swinging Strike,Strike tirándole,S,1046,2013-04-01T00:10:46Z,115.02,144.2,130331_191044,93.7,85.4,3.25,1.5,-2.48,10.8,-0.528,2.521,-1.436,50.0,5.668,3.317,-137.251,-6.308,-4.684,33.764,-11.742,23.7,16.3,3.0,FF,0.905,4,38,192.91,2215.746,"","",2,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_2,"","","",""
502032,204020,"","","",Ball,Bola mala,B,1125,2013-04-01T00:11:25Z,131.33,176.14,130331_191123,93.3,85.2,3.32,1.57,-3.79,9.38,-0.807,1.32,-1.472,50.0,5.665,3.102,-136.521,-8.933,-7.075,33.28,-14.598,23.7,20.8,3.9,FF,0.905,13,82,201.925,2013.412,"","",3,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_3,"","","",""
502032,204020,"","","",Swinging Strike,Strike tirándole,S,1144,2013-04-01T00:11:44Z,105.58,164.92,130331_191142,87.5,80.5,3.42,1.5,-3.5,4.45,-0.126,1.725,-1.318,50.0,5.789,4.152,-128.139,-5.348,-5.781,28.083,-24.757,23.8,10.8,6.5,CH,0.898,8,33,217.933,1064.695,"","",3,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_3,"","","",""
502032,204020,"","","",Ball,Bola mala,B,1204,2013-04-01T00:12:04Z,112.45,82.03,130331_191202,92.8,84.3,3.25,1.61,-1.63,10.44,-0.282,5.248,-1.385,50.0,5.928,3.509,-135.995,0.576,-3.007,33.258,-12.791,23.7,9.7,2.8,FF,0.905,11,31,188.817,2092.495,"","",3,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_3,"","","",""
502032,204020,"","","","In play, out(s)","En juego, out(s)",X,1228,2013-04-01T00:12:28Z,108.15,143.33,130331_191226,93.7,85.8,3.42,1.5,-0.98,9.88,-0.358,2.627,-1.42,50.0,5.701,3.214,-137.305,-5.836,-1.866,32.367,-13.363,23.8,4.4,3.2,FF,0.905,4,34,185.663,1997.349,"","",3,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_3,"","","",""
457448,514888,"","","","In play, no out","En juego, no out",X,1517,2013-04-01T00:15:17Z,103.86,158.88,130331_191514,91.2,83.5,2.79,1.5,10.13,10.71,-0.028,1.875,1.715,50.0,6.327,-8.019,-133.222,-9.207,18.081,30.324,-12.97,23.8,-47.4,5.0,FT,0.814,8,35,136.726,2872.383,"","",4,2013_03_31_texmlb_houmlb_1,2013_03_31_texmlb_houmlb_1_4,"","","",""
